answer,answer_pct,cell_pct,election,question,question_number,state,vote_group
Coastal,10.0,34.0,senate,Region,56,California,Sanchez
Inland / Central Valley,19.0,64.0,senate,Region,56,California,Harris
Inland / Central Valley,19.0,36.0,senate,Region,56,California,Sanchez
Bay Area,17.0,76.0,senate,Region,56,California,Harris
Bay Area,17.0,24.0,senate,Region,56,California,Sanchez
L.A. County,26.0,60.0,senate,Region,56,California,Harris
L.A. County,26.0,40.0,senate,Region,56,California,Sanchez
Southern California,27.0,51.0,senate,Region,56,California,Harris
Southern California,27.0,49.0,senate,Region,56,California,Sanchez
Male,49.0,41.0,president,Gender,0,Colorado,Clinton
Male,49.0,49.0,president,Gender,0,Colorado,Trump
Male,49.0,7.0,president,Gender,0,Colorado,Johnson
Male,49.0,1.0,president,Gender,0,Colorado,Stein
Male,49.0,2.0,president,Gender,0,Colorado,Other/No Answer
Female,51.0,55.0,president,Gender,0,Colorado,Clinton
Female,51.0,39.0,president,Gender,0,Colorado,Trump
Female,51.0,3.0,president,Gender,0,Colorado,Johnson
Female,51.0,1.0,president,Gender,0,Colorado,Stein
Female,51.0,2.0,president,Gender,0,Colorado,Other/No Answer
18-29,19.0,50.0,president,Age,1,Colorado,Clinton
18-29,19.0,36.0,president,Age,1,Colorado,Trump
18-29,19.0,11.0,president,Age,1,Colorado,Johnson
18-29,19.0,1.0,president,Age,1,Colorado,Stein
18-29,19.0,2.0,president,Age,1,Colorado,Other/No Answer
30-44,26.0,46.0,president,Age,1,Colorado,Clinton
30-44,26.0,45.0,president,Age,1,Colorado,Trump
30-44,26.0,5.0,president,Age,1,Colorado,Johnson
30-44,26.0,2.0,president,Age,1,Colorado,Stein
30-44,26.0,2.0,president,Age,1,Colorado,Other/No Answer
45-64,38.0,49.0,president,Age,1,Colorado,Clinton
45-64,38.0,45.0,president,Age,1,Colorado,Trump
45-64,38.0,3.0,president,Age,1,Colorado,Johnson
45-64,38.0,1.0,president,Age,1,Colorado,Stein
45-64,38.0,2.0,president,Age,1,Colorado,Other/No Answer
65 and older,17.0,49.0,president,Age,1,Colorado,Clinton
65 and older,17.0,48.0,president,Age,1,Colorado,Trump
65 and older,17.0,1.0,president,Age,1,Colorado,Johnson
65 and older,17.0,0.0,president,Age,1,Colorado,Stein
65 and older,17.0,2.0,president,Age,1,Colorado,Other/No Answer
18-24,11.0,,president,Age,2,Colorado,Clinton
18-24,11.0,,president,Age,2,Colorado,Trump
18-24,11.0,,president,Age,2,Colorado,Johnson
18-24,11.0,,president,Age,2,Colorado,Stein
18-24,11.0,,president,Age,2,Colorado,Other/No Answer
25-29,8.0,,president,Age,2,Colorado,Clinton
25-29,8.0,,president,Age,2,Colorado,Trump
25-29,8.0,,president,Age,2,Colorado,Johnson
25-29,8.0,,president,Age,2,Colorado,Stein
25-29,8.0,,president,Age,2,Colorado,Other/No Answer
30-39,17.0,48.0,president,Age,2,Colorado,Clinton
30-39,17.0,42.0,president,Age,2,Colorado,Trump
30-39,17.0,7.0,president,Age,2,Colorado,Johnson
30-39,17.0,2.0,president,Age,2,Colorado,Stein
30-39,17.0,1.0,president,Age,2,Colorado,Other/No Answer
40-49,19.0,43.0,president,Age,2,Colorado,Clinton
40-49,19.0,50.0,president,Age,2,Colorado,Trump
40-49,19.0,3.0,president,Age,2,Colorado,Johnson
40-49,19.0,1.0,president,Age,2,Colorado,Stein
40-49,19.0,3.0,president,Age,2,Colorado,Other/No Answer
50-64,29.0,51.0,president,Age,2,Colorado,Clinton
50-64,29.0,43.0,president,Age,2,Colorado,Trump
50-64,29.0,3.0,president,Age,2,Colorado,Johnson
50-64,29.0,2.0,president,Age,2,Colorado,Stein
50-64,29.0,1.0,president,Age,2,Colorado,Other/No Answer
65 and older,17.0,49.0,president,Age,2,Colorado,Clinton
65 and older,17.0,48.0,president,Age,2,Colorado,Trump
65 and older,17.0,1.0,president,Age,2,Colorado,Johnson
65 and older,17.0,0.0,president,Age,2,Colorado,Stein
65 and older,17.0,2.0,president,Age,2,Colorado,Other/No Answer
18-44,45.0,48.0,president,Age,3,Colorado,Clinton
18-44,45.0,41.0,president,Age,3,Colorado,Trump
18-44,45.0,8.0,president,Age,3,Colorado,Johnson
18-44,45.0,1.0,president,Age,3,Colorado,Stein
18-44,45.0,2.0,president,Age,3,Colorado,Other/No Answer
45 and older,55.0,49.0,president,Age,3,Colorado,Clinton
45 and older,55.0,46.0,president,Age,3,Colorado,Trump
45 and older,55.0,2.0,president,Age,3,Colorado,Johnson
45 and older,55.0,1.0,president,Age,3,Colorado,Stein
45 and older,55.0,2.0,president,Age,3,Colorado,Other/No Answer
White,78.0,45.0,president,Race,4,Colorado,Clinton
White,78.0,47.0,president,Race,4,Colorado,Trump
White,78.0,5.0,president,Race,4,Colorado,Johnson
White,78.0,1.0,president,Race,4,Colorado,Stein
White,78.0,2.0,president,Race,4,Colorado,Other/No Answer
Black,4.0,,president,Race,4,Colorado,Clinton
Black,4.0,,president,Race,4,Colorado,Trump
Black,4.0,,president,Race,4,Colorado,Johnson
Black,4.0,,president,Race,4,Colorado,Stein
Black,4.0,,president,Race,4,Colorado,Other/No Answer
Latino,12.0,67.0,president,Race,4,Colorado,Clinton
Latino,12.0,30.0,president,Race,4,Colorado,Trump
Latino,12.0,2.0,president,Race,4,Colorado,Johnson
Latino,12.0,0.0,president,Race,4,Colorado,Stein
Latino,12.0,1.0,president,Race,4,Colorado,Other/No Answer
Asian,3.0,,president,Race,4,Colorado,Clinton
Asian,3.0,,president,Race,4,Colorado,Trump
Asian,3.0,,president,Race,4,Colorado,Johnson
Asian,3.0,,president,Race,4,Colorado,Stein
Asian,3.0,,president,Race,4,Colorado,Other/No Answer
Other race,4.0,,president,Race,4,Colorado,Clinton
Other race,4.0,,president,Race,4,Colorado,Trump
Other race,4.0,,president,Race,4,Colorado,Johnson
Other race,4.0,,president,Race,4,Colorado,Stein
Other race,4.0,,president,Race,4,Colorado,Other/No Answer
White,78.0,45.0,president,Race,5,Colorado,Clinton
White,78.0,47.0,president,Race,5,Colorado,Trump
White,78.0,5.0,president,Race,5,Colorado,Johnson
White,78.0,1.0,president,Race,5,Colorado,Stein
White,78.0,2.0,president,Race,5,Colorado,Other/No Answer
Non-white,22.0,62.0,president,Race,5,Colorado,Clinton
Non-white,22.0,31.0,president,Race,5,Colorado,Trump
Non-white,22.0,3.0,president,Race,5,Colorado,Johnson
Non-white,22.0,1.0,president,Race,5,Colorado,Stein
Non-white,22.0,3.0,president,Race,5,Colorado,Other/No Answer
White men,38.0,38.0,president,Race and gender,6,Colorado,Clinton
White men,38.0,50.0,president,Race and gender,6,Colorado,Trump
White men,38.0,8.0,president,Race and gender,6,Colorado,Johnson
White men,38.0,1.0,president,Race and gender,6,Colorado,Stein
White men,38.0,3.0,president,Race and gender,6,Colorado,Other/No Answer
White women,40.0,50.0,president,Race and gender,6,Colorado,Clinton
White women,40.0,44.0,president,Race and gender,6,Colorado,Trump
White women,40.0,3.0,president,Race and gender,6,Colorado,Johnson
White women,40.0,2.0,president,Race and gender,6,Colorado,Stein
White women,40.0,1.0,president,Race and gender,6,Colorado,Other/No Answer
Black men,2.0,,president,Race and gender,6,Colorado,Clinton
Black men,2.0,,president,Race and gender,6,Colorado,Trump
Black men,2.0,,president,Race and gender,6,Colorado,Johnson
Black men,2.0,,president,Race and gender,6,Colorado,Stein
Black men,2.0,,president,Race and gender,6,Colorado,Other/No Answer
Black women,2.0,,president,Race and gender,6,Colorado,Clinton
Black women,2.0,,president,Race and gender,6,Colorado,Trump
Black women,2.0,,president,Race and gender,6,Colorado,Johnson
Black women,2.0,,president,Race and gender,6,Colorado,Stein
Black women,2.0,,president,Race and gender,6,Colorado,Other/No Answer
Latino men,6.0,,president,Race and gender,6,Colorado,Clinton
Latino men,6.0,,president,Race and gender,6,Colorado,Trump
Latino men,6.0,,president,Race and gender,6,Colorado,Johnson
Latino men,6.0,,president,Race and gender,6,Colorado,Stein
Latino men,6.0,,president,Race and gender,6,Colorado,Other/No Answer
Latino women,5.0,,president,Race and gender,6,Colorado,Clinton
Latino women,5.0,,president,Race and gender,6,Colorado,Trump
Latino women,5.0,,president,Race and gender,6,Colorado,Johnson
Latino women,5.0,,president,Race and gender,6,Colorado,Stein
Latino women,5.0,,president,Race and gender,6,Colorado,Other/No Answer
Others,7.0,,president,Race and gender,6,Colorado,Clinton
Others,7.0,,president,Race and gender,6,Colorado,Trump
Others,7.0,,president,Race and gender,6,Colorado,Johnson
Others,7.0,,president,Race and gender,6,Colorado,Stein
Others,7.0,,president,Race and gender,6,Colorado,Other/No Answer
High school or less,19.0,40.0,president,Education,7,Colorado,Clinton
High school or less,19.0,51.0,president,Education,7,Colorado,Trump
High school or less,19.0,5.0,president,Education,7,Colorado,Johnson
High school or less,19.0,1.0,president,Education,7,Colorado,Stein
High school or less,19.0,3.0,president,Education,7,Colorado,Other/No Answer
Some college,27.0,43.0,president,Education,7,Colorado,Clinton
Some college,27.0,49.0,president,Education,7,Colorado,Trump
Some college,27.0,4.0,president,Education,7,Colorado,Johnson
Some college,27.0,1.0,president,Education,7,Colorado,Stein
Some college,27.0,3.0,president,Education,7,Colorado,Other/No Answer
College graduate,34.0,48.0,president,Education,7,Colorado,Clinton
College graduate,34.0,43.0,president,Education,7,Colorado,Trump
College graduate,34.0,6.0,president,Education,7,Colorado,Johnson
College graduate,34.0,1.0,president,Education,7,Colorado,Stein
College graduate,34.0,2.0,president,Education,7,Colorado,Other/No Answer
Postgraduate,20.0,64.0,president,Education,7,Colorado,Clinton
Postgraduate,20.0,30.0,president,Education,7,Colorado,Trump
Postgraduate,20.0,4.0,president,Education,7,Colorado,Johnson
Postgraduate,20.0,1.0,president,Education,7,Colorado,Stein
Postgraduate,20.0,1.0,president,Education,7,Colorado,Other/No Answer
Yes,54.0,54.0,president,Are you a college graduate?,8,Colorado,Clinton
Yes,54.0,38.0,president,Are you a college graduate?,8,Colorado,Trump
Yes,54.0,5.0,president,Are you a college graduate?,8,Colorado,Johnson
Yes,54.0,1.0,president,Are you a college graduate?,8,Colorado,Stein
Yes,54.0,2.0,president,Are you a college graduate?,8,Colorado,Other/No Answer
No,46.0,42.0,president,Are you a college graduate?,8,Colorado,Clinton
No,46.0,50.0,president,Are you a college graduate?,8,Colorado,Trump
No,46.0,5.0,president,Are you a college graduate?,8,Colorado,Johnson
No,46.0,1.0,president,Are you a college graduate?,8,Colorado,Stein
No,46.0,2.0,president,Are you a college graduate?,8,Colorado,Other/No Answer
White college graduates,45.0,53.0,president,Education and race,9,Colorado,Clinton
White college graduates,45.0,39.0,president,Education and race,9,Colorado,Trump
White college graduates,45.0,5.0,president,Education and race,9,Colorado,Johnson
White college graduates,45.0,1.0,president,Education and race,9,Colorado,Stein
White college graduates,45.0,2.0,president,Education and race,9,Colorado,Other/No Answer
Whites no degree,33.0,34.0,president,Education and race,9,Colorado,Clinton
Whites no degree,33.0,58.0,president,Education and race,9,Colorado,Trump
Whites no degree,33.0,6.0,president,Education and race,9,Colorado,Johnson
Whites no degree,33.0,1.0,president,Education and race,9,Colorado,Stein
Whites no degree,33.0,1.0,president,Education and race,9,Colorado,Other/No Answer
Non-whites college grads,10.0,61.0,president,Education and race,9,Colorado,Clinton
Non-whites college grads,10.0,34.0,president,Education and race,9,Colorado,Trump
Non-whites college grads,10.0,5.0,president,Education and race,9,Colorado,Johnson
Non-whites college grads,10.0,0.0,president,Education and race,9,Colorado,Stein
Non-whites college grads,10.0,,president,Education and race,9,Colorado,Other/No Answer
Non-whites no degree,12.0,62.0,president,Education and race,9,Colorado,Clinton
Non-whites no degree,12.0,29.0,president,Education and race,9,Colorado,Trump
Non-whites no degree,12.0,2.0,president,Education and race,9,Colorado,Johnson
Non-whites no degree,12.0,1.0,president,Education and race,9,Colorado,Stein
Non-whites no degree,12.0,6.0,president,Education and race,9,Colorado,Other/No Answer
White college-grad women,23.0,58.0,president,Education among whites by sex,10,Colorado,Clinton
White college-grad women,23.0,37.0,president,Education among whites by sex,10,Colorado,Trump
White college-grad women,23.0,2.0,president,Education among whites by sex,10,Colorado,Johnson
White college-grad women,23.0,2.0,president,Education among whites by sex,10,Colorado,Stein
White college-grad women,23.0,1.0,president,Education among whites by sex,10,Colorado,Other/No Answer
White non-college women,18.0,40.0,president,Education among whites by sex,10,Colorado,Clinton
White non-college women,18.0,53.0,president,Education among whites by sex,10,Colorado,Trump
White non-college women,18.0,3.0,president,Education among whites by sex,10,Colorado,Johnson
White non-college women,18.0,1.0,president,Education among whites by sex,10,Colorado,Stein
White non-college women,18.0,3.0,president,Education among whites by sex,10,Colorado,Other/No Answer
White college-grad men,22.0,47.0,president,Education among whites by sex,10,Colorado,Clinton
White college-grad men,22.0,41.0,president,Education among whites by sex,10,Colorado,Trump
White college-grad men,22.0,8.0,president,Education among whites by sex,10,Colorado,Johnson
White college-grad men,22.0,1.0,president,Education among whites by sex,10,Colorado,Stein
White college-grad men,22.0,3.0,president,Education among whites by sex,10,Colorado,Other/No Answer
White non-college men,16.0,26.0,president,Education among whites by sex,10,Colorado,Clinton
White non-college men,16.0,63.0,president,Education among whites by sex,10,Colorado,Trump
White non-college men,16.0,8.0,president,Education among whites by sex,10,Colorado,Johnson
White non-college men,16.0,1.0,president,Education among whites by sex,10,Colorado,Stein
White non-college men,16.0,2.0,president,Education among whites by sex,10,Colorado,Other/No Answer
Non-whites,22.0,61.0,president,Education among whites by sex,10,Colorado,Clinton
Non-whites,22.0,31.0,president,Education among whites by sex,10,Colorado,Trump
Non-whites,22.0,3.0,president,Education among whites by sex,10,Colorado,Johnson
Non-whites,22.0,1.0,president,Education among whites by sex,10,Colorado,Stein
Non-whites,22.0,4.0,president,Education among whites by sex,10,Colorado,Other/No Answer
"Under $30,000",13.0,44.0,president,Income,11,Colorado,Clinton
"Under $30,000",13.0,38.0,president,Income,11,Colorado,Trump
"Under $30,000",13.0,8.0,president,Income,11,Colorado,Johnson
"Under $30,000",13.0,3.0,president,Income,11,Colorado,Stein
"Under $30,000",13.0,7.0,president,Income,11,Colorado,Other/No Answer
"$30K-$49,999",22.0,46.0,president,Income,11,Colorado,Clinton
"$30K-$49,999",22.0,43.0,president,Income,11,Colorado,Trump
"$30K-$49,999",22.0,6.0,president,Income,11,Colorado,Johnson
"$30K-$49,999",22.0,2.0,president,Income,11,Colorado,Stein
"$30K-$49,999",22.0,3.0,president,Income,11,Colorado,Other/No Answer
"$50K-$99,999",32.0,52.0,president,Income,11,Colorado,Clinton
"$50K-$99,999",32.0,44.0,president,Income,11,Colorado,Trump
"$50K-$99,999",32.0,3.0,president,Income,11,Colorado,Johnson
"$50K-$99,999",32.0,1.0,president,Income,11,Colorado,Stein
"$50K-$99,999",32.0,,president,Income,11,Colorado,Other/No Answer
"$100K-$199,999",23.0,49.0,president,Income,11,Colorado,Clinton
"$100K-$199,999",23.0,42.0,president,Income,11,Colorado,Trump
"$100K-$199,999",23.0,7.0,president,Income,11,Colorado,Johnson
"$100K-$199,999",23.0,1.0,president,Income,11,Colorado,Stein
"$100K-$199,999",23.0,1.0,president,Income,11,Colorado,Other/No Answer
"$200K-$249,999",4.0,,president,Income,11,Colorado,Clinton
"$200K-$249,999",4.0,,president,Income,11,Colorado,Trump
"$200K-$249,999",4.0,,president,Income,11,Colorado,Johnson
"$200K-$249,999",4.0,,president,Income,11,Colorado,Stein
"$200K-$249,999",4.0,,president,Income,11,Colorado,Other/No Answer
"$250,000 or more",6.0,,president,Income,11,Colorado,Clinton
"$250,000 or more",6.0,,president,Income,11,Colorado,Trump
"$250,000 or more",6.0,,president,Income,11,Colorado,Johnson
"$250,000 or more",6.0,,president,Income,11,Colorado,Stein
"$250,000 or more",6.0,,president,Income,11,Colorado,Other/No Answer
Under $50K,36.0,46.0,president,Income,12,Colorado,Clinton
Under $50K,36.0,41.0,president,Income,12,Colorado,Trump
Under $50K,36.0,7.0,president,Income,12,Colorado,Johnson
Under $50K,36.0,2.0,president,Income,12,Colorado,Stein
Under $50K,36.0,4.0,president,Income,12,Colorado,Other/No Answer
$50K-$100K,32.0,52.0,president,Income,12,Colorado,Clinton
$50K-$100K,32.0,44.0,president,Income,12,Colorado,Trump
$50K-$100K,32.0,3.0,president,Income,12,Colorado,Johnson
$50K-$100K,32.0,1.0,president,Income,12,Colorado,Stein
$50K-$100K,32.0,,president,Income,12,Colorado,Other/No Answer
$100K or more,33.0,51.0,president,Income,12,Colorado,Clinton
$100K or more,33.0,41.0,president,Income,12,Colorado,Trump
$100K or more,33.0,6.0,president,Income,12,Colorado,Johnson
$100K or more,33.0,1.0,president,Income,12,Colorado,Stein
$100K or more,33.0,1.0,president,Income,12,Colorado,Other/No Answer
Under $50K,36.0,46.0,president,Income,13,Colorado,Clinton
Under $50K,36.0,41.0,president,Income,13,Colorado,Trump
Under $50K,36.0,7.0,president,Income,13,Colorado,Johnson
Under $50K,36.0,2.0,president,Income,13,Colorado,Stein
Under $50K,36.0,4.0,president,Income,13,Colorado,Other/No Answer
$50K or more,64.0,52.0,president,Income,13,Colorado,Clinton
$50K or more,64.0,42.0,president,Income,13,Colorado,Trump
$50K or more,64.0,4.0,president,Income,13,Colorado,Johnson
$50K or more,64.0,1.0,president,Income,13,Colorado,Stein
$50K or more,64.0,1.0,president,Income,13,Colorado,Other/No Answer
Under $100K,67.0,49.0,president,Income,14,Colorado,Clinton
Under $100K,67.0,42.0,president,Income,14,Colorado,Trump
Under $100K,67.0,5.0,president,Income,14,Colorado,Johnson
Under $100K,67.0,2.0,president,Income,14,Colorado,Stein
Under $100K,67.0,2.0,president,Income,14,Colorado,Other/No Answer
$100K or more,33.0,51.0,president,Income,14,Colorado,Clinton
$100K or more,33.0,41.0,president,Income,14,Colorado,Trump
$100K or more,33.0,6.0,president,Income,14,Colorado,Johnson
$100K or more,33.0,1.0,president,Income,14,Colorado,Stein
$100K or more,33.0,1.0,president,Income,14,Colorado,Other/No Answer
Democrats,32.0,87.0,president,Party ID,15,Colorado,Clinton
Democrats,32.0,9.0,president,Party ID,15,Colorado,Trump
Democrats,32.0,1.0,president,Party ID,15,Colorado,Johnson
Democrats,32.0,0.0,president,Party ID,15,Colorado,Stein
Democrats,32.0,3.0,president,Party ID,15,Colorado,Other/No Answer
Republicans,24.0,8.0,president,Party ID,15,Colorado,Clinton
Republicans,24.0,88.0,president,Party ID,15,Colorado,Trump
Republicans,24.0,3.0,president,Party ID,15,Colorado,Johnson
Republicans,24.0,0.0,president,Party ID,15,Colorado,Stein
Republicans,24.0,1.0,president,Party ID,15,Colorado,Other/No Answer
Independents,43.0,42.0,president,Party ID,15,Colorado,Clinton
Independents,43.0,45.0,president,Party ID,15,Colorado,Trump
Independents,43.0,9.0,president,Party ID,15,Colorado,Johnson
Independents,43.0,2.0,president,Party ID,15,Colorado,Stein
Independents,43.0,2.0,president,Party ID,15,Colorado,Other/No Answer
Democratic men,12.0,82.0,president,Party by gender,16,Colorado,Clinton
Democratic men,12.0,12.0,president,Party by gender,16,Colorado,Trump
Democratic men,12.0,2.0,president,Party by gender,16,Colorado,Johnson
Democratic men,12.0,1.0,president,Party by gender,16,Colorado,Stein
Democratic men,12.0,3.0,president,Party by gender,16,Colorado,Other/No Answer
Democratic women,20.0,91.0,president,Party by gender,16,Colorado,Clinton
Democratic women,20.0,7.0,president,Party by gender,16,Colorado,Trump
Democratic women,20.0,1.0,president,Party by gender,16,Colorado,Johnson
Democratic women,20.0,0.0,president,Party by gender,16,Colorado,Stein
Democratic women,20.0,1.0,president,Party by gender,16,Colorado,Other/No Answer
Republican men,12.0,11.0,president,Party by gender,16,Colorado,Clinton
Republican men,12.0,84.0,president,Party by gender,16,Colorado,Trump
Republican men,12.0,5.0,president,Party by gender,16,Colorado,Johnson
Republican men,12.0,,president,Party by gender,16,Colorado,Stein
Republican men,12.0,,president,Party by gender,16,Colorado,Other/No Answer
Republican women,12.0,6.0,president,Party by gender,16,Colorado,Clinton
Republican women,12.0,92.0,president,Party by gender,16,Colorado,Trump
Republican women,12.0,1.0,president,Party by gender,16,Colorado,Johnson
Republican women,12.0,1.0,president,Party by gender,16,Colorado,Stein
Republican women,12.0,,president,Party by gender,16,Colorado,Other/No Answer
Independent men,25.0,36.0,president,Party by gender,16,Colorado,Clinton
Independent men,25.0,50.0,president,Party by gender,16,Colorado,Trump
Independent men,25.0,11.0,president,Party by gender,16,Colorado,Johnson
Independent men,25.0,2.0,president,Party by gender,16,Colorado,Stein
Independent men,25.0,1.0,president,Party by gender,16,Colorado,Other/No Answer
Independent women,18.0,49.0,president,Party by gender,16,Colorado,Clinton
Independent women,18.0,39.0,president,Party by gender,16,Colorado,Trump
Independent women,18.0,6.0,president,Party by gender,16,Colorado,Johnson
Independent women,18.0,3.0,president,Party by gender,16,Colorado,Stein
Independent women,18.0,3.0,president,Party by gender,16,Colorado,Other/No Answer
Liberal,28.0,85.0,president,Ideology,17,Colorado,Clinton
Liberal,28.0,10.0,president,Ideology,17,Colorado,Trump
Liberal,28.0,3.0,president,Ideology,17,Colorado,Johnson
Liberal,28.0,2.0,president,Ideology,17,Colorado,Stein
Liberal,28.0,,president,Ideology,17,Colorado,Other/No Answer
Moderate,37.0,53.0,president,Ideology,17,Colorado,Clinton
Moderate,37.0,36.0,president,Ideology,17,Colorado,Trump
Moderate,37.0,7.0,president,Ideology,17,Colorado,Johnson
Moderate,37.0,2.0,president,Ideology,17,Colorado,Stein
Moderate,37.0,2.0,president,Ideology,17,Colorado,Other/No Answer
Conservative,35.0,16.0,president,Ideology,17,Colorado,Clinton
Conservative,35.0,80.0,president,Ideology,17,Colorado,Trump
Conservative,35.0,3.0,president,Ideology,17,Colorado,Johnson
Conservative,35.0,0.0,president,Ideology,17,Colorado,Stein
Conservative,35.0,1.0,president,Ideology,17,Colorado,Other/No Answer
Last few days,,,president,When did you decide presidential vote?,18,Colorado,Clinton
Last few days,,,president,When did you decide presidential vote?,18,Colorado,Trump
Last few days,,,president,When did you decide presidential vote?,18,Colorado,Johnson
Last few days,,,president,When did you decide presidential vote?,18,Colorado,Stein
Last few days,,,president,When did you decide presidential vote?,18,Colorado,Other/No Answer
Last week,6.0,,president,When did you decide presidential vote?,18,Colorado,Clinton
Last week,6.0,,president,When did you decide presidential vote?,18,Colorado,Trump
Last week,6.0,,president,When did you decide presidential vote?,18,Colorado,Johnson
Last week,6.0,,president,When did you decide presidential vote?,18,Colorado,Stein
Last week,6.0,,president,When did you decide presidential vote?,18,Colorado,Other/No Answer
In October,17.0,35.0,president,When did you decide presidential vote?,18,Colorado,Clinton
In October,17.0,50.0,president,When did you decide presidential vote?,18,Colorado,Trump
In October,17.0,8.0,president,When did you decide presidential vote?,18,Colorado,Johnson
In October,17.0,3.0,president,When did you decide presidential vote?,18,Colorado,Stein
In October,17.0,4.0,president,When did you decide presidential vote?,18,Colorado,Other/No Answer
In September,12.0,42.0,president,When did you decide presidential vote?,18,Colorado,Clinton
In September,12.0,48.0,president,When did you decide presidential vote?,18,Colorado,Trump
In September,12.0,7.0,president,When did you decide presidential vote?,18,Colorado,Johnson
In September,12.0,2.0,president,When did you decide presidential vote?,18,Colorado,Stein
In September,12.0,1.0,president,When did you decide presidential vote?,18,Colorado,Other/No Answer
Before September,63.0,54.0,president,When did you decide presidential vote?,18,Colorado,Clinton
Before September,63.0,41.0,president,When did you decide presidential vote?,18,Colorado,Trump
Before September,63.0,3.0,president,When did you decide presidential vote?,18,Colorado,Johnson
Before September,63.0,1.0,president,When did you decide presidential vote?,18,Colorado,Stein
Before September,63.0,1.0,president,When did you decide presidential vote?,18,Colorado,Other/No Answer
In the last week,6.0,,president,When did you decide presidential vote?,19,Colorado,Clinton
In the last week,6.0,,president,When did you decide presidential vote?,19,Colorado,Trump
In the last week,6.0,,president,When did you decide presidential vote?,19,Colorado,Johnson
In the last week,6.0,,president,When did you decide presidential vote?,19,Colorado,Stein
In the last week,6.0,,president,When did you decide presidential vote?,19,Colorado,Other/No Answer
Before that,91.0,49.0,president,When did you decide presidential vote?,19,Colorado,Clinton
Before that,91.0,43.0,president,When did you decide presidential vote?,19,Colorado,Trump
Before that,91.0,5.0,president,When did you decide presidential vote?,19,Colorado,Johnson
Before that,91.0,1.0,president,When did you decide presidential vote?,19,Colorado,Stein
Before that,91.0,2.0,president,When did you decide presidential vote?,19,Colorado,Other/No Answer
In the last month,22.0,37.0,president,When did you decide presidential vote?,20,Colorado,Clinton
In the last month,22.0,48.0,president,When did you decide presidential vote?,20,Colorado,Trump
In the last month,22.0,9.0,president,When did you decide presidential vote?,20,Colorado,Johnson
In the last month,22.0,2.0,president,When did you decide presidential vote?,20,Colorado,Stein
In the last month,22.0,4.0,president,When did you decide presidential vote?,20,Colorado,Other/No Answer
Before that,75.0,52.0,president,When did you decide presidential vote?,20,Colorado,Clinton
Before that,75.0,42.0,president,When did you decide presidential vote?,20,Colorado,Trump
Before that,75.0,4.0,president,When did you decide presidential vote?,20,Colorado,Johnson
Before that,75.0,1.0,president,When did you decide presidential vote?,20,Colorado,Stein
Before that,75.0,1.0,president,When did you decide presidential vote?,20,Colorado,Other/No Answer
Strongly favor ,38.0,57.0,president,Opinion of presidential candidate you voted for,21,Colorado,Clinton
Strongly favor ,38.0,38.0,president,Opinion of presidential candidate you voted for,21,Colorado,Trump
Strongly favor ,38.0,2.0,president,Opinion of presidential candidate you voted for,21,Colorado,Johnson
Strongly favor ,38.0,2.0,president,Opinion of presidential candidate you voted for,21,Colorado,Stein
Strongly favor ,38.0,1.0,president,Opinion of presidential candidate you voted for,21,Colorado,Other/No Answer
Have reservations,25.0,46.0,president,Opinion of presidential candidate you voted for,21,Colorado,Clinton
Have reservations,25.0,42.0,president,Opinion of presidential candidate you voted for,21,Colorado,Trump
Have reservations,25.0,9.0,president,Opinion of presidential candidate you voted for,21,Colorado,Johnson
Have reservations,25.0,0.0,president,Opinion of presidential candidate you voted for,21,Colorado,Stein
Have reservations,25.0,3.0,president,Opinion of presidential candidate you voted for,21,Colorado,Other/No Answer
Dislike opponents,35.0,41.0,president,Opinion of presidential candidate you voted for,21,Colorado,Clinton
Dislike opponents,35.0,51.0,president,Opinion of presidential candidate you voted for,21,Colorado,Trump
Dislike opponents,35.0,4.0,president,Opinion of presidential candidate you voted for,21,Colorado,Johnson
Dislike opponents,35.0,1.0,president,Opinion of presidential candidate you voted for,21,Colorado,Stein
Dislike opponents,35.0,3.0,president,Opinion of presidential candidate you voted for,21,Colorado,Other/No Answer
Foreign policy,17.0,61.0,president,Most important issue facing the country,22,Colorado,Clinton
Foreign policy,17.0,30.0,president,Most important issue facing the country,22,Colorado,Trump
Foreign policy,17.0,7.0,president,Most important issue facing the country,22,Colorado,Johnson
Foreign policy,17.0,1.0,president,Most important issue facing the country,22,Colorado,Stein
Foreign policy,17.0,1.0,president,Most important issue facing the country,22,Colorado,Other/No Answer
Immigration,11.0,37.0,president,Most important issue facing the country,22,Colorado,Clinton
Immigration,11.0,59.0,president,Most important issue facing the country,22,Colorado,Trump
Immigration,11.0,2.0,president,Most important issue facing the country,22,Colorado,Johnson
Immigration,11.0,2.0,president,Most important issue facing the country,22,Colorado,Stein
Immigration,11.0,,president,Most important issue facing the country,22,Colorado,Other/No Answer
Economy,54.0,53.0,president,Most important issue facing the country,22,Colorado,Clinton
Economy,54.0,38.0,president,Most important issue facing the country,22,Colorado,Trump
Economy,54.0,6.0,president,Most important issue facing the country,22,Colorado,Johnson
Economy,54.0,1.0,president,Most important issue facing the country,22,Colorado,Stein
Economy,54.0,2.0,president,Most important issue facing the country,22,Colorado,Other/No Answer
Terrorism,14.0,30.0,president,Most important issue facing the country,22,Colorado,Clinton
Terrorism,14.0,67.0,president,Most important issue facing the country,22,Colorado,Trump
